ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
1628,1.0,2.1,1.6,41.5,10.0,3.0,0.358,0.607,17.23,0.4,0.0,0.0,0.2
1639,1.2,2.0,1.6,41.1,10.1,3.1,0.367,0.627,16.77,0.4,0.0,0.0,0.2
1645,1.2,1.7,0.6,42.6,11.1,3.6,0.322,0.702,16.61,0.5,0.0,0.0,0.1
1651,1.1,1.7,0.5,43.3,10.7,3.4,0.314,0.702,16.3,0.4,0.0,0.0,0.2
1666,1.1,1.8,1.3,45.5,11.0,3.5,0.32,0.668,16.4,0.4,0.0,0.0,0.2
1671,1.1,1.9,1.1,45.2,11.5,3.4,0.301,0.668,16.83,0.4,0.0,0.0,0.2
1683,1.1,1.8,0.7,45.4,11.0,3.2,0.298,0.718,16.56,0.4,0.0,0.0,0.2
1699,1.0,1.8,0.2,44.8,11.1,3.2,0.296,0.695,16.62,0.4,0.0,0.0,0.2
1707,1.0,1.7,1.6,42.5,10.1,3.0,0.28,0.7,17.78,0.2,0.0,0.0,0.2
1717,0.9,1.3,1.5,41.4,9.8,3.0,0.297,0.75,17.65,0.2,0.1,0.1,0.1
1728,1.0,1.4,0.3,39.8,9.0,3.0,0.316,0.67,17.76,0.1,0.2,0.2,0.3
1738,0.8,1.5,0.5,41.1,8.7,3.0,0.339,0.65,18.75,0.1,0.2,0.2,0.3
1742,0.7,2.0,0.5,40.4,8.4,2.8,0.334,0.608,18.47,0.0,0.2,0.2,0.3
1754,0.8,2.3,1.8,37.9,8.0,2.9,0.406,0.566,18.36,0.0,0.2,0.2,0.2
1766,0.9,2.4,0.4,38.2,8.6,3.3,0.424,0.55,18.58,0.2,0.2,0.2,0.2
1778,0.9,2.3,1.1,36.3,7.2,3.1,0.471,0.566,18.7,0.3,0.2,0.2,0.2
1787,0.8,2.6,1.4,35.9,7.9,3.3,0.47,0.516,18.91,0.4,0.2,0.2,0.2
1795,1.0,2.5,1.5,37.2,8.1,3.4,0.475,0.523,19.02,0.4,0.2,0.2,0.2
1803,1.0,2.5,0.4,38.5,9.3,4.1,0.522,0.518,17.78,0.4,0.2,0.2,0.2
1816,1.0,2.9,1.2,41.6,9.6,3.9,0.487,0.452,18.33,0.5,0.1,0.1,0.2
1822,1.0,2.8,0.8,42.6,10.0,3.9,0.473,0.535,18.21,0.5,0.0,0.0,0.0
1837,1.1,2.8,1.1,42.4,10.1,3.8,0.447,0.542,17.6,0.5,0.0,0.0,0.0
1847,1.3,2.4,0.2,41.8,10.6,3.8,0.427,0.586,18.03,0.5,0.0,0.0,0.0
1855,1.2,2.4,0.1,41.3,10.7,3.5,0.327,0.596,18.62,0.5,0.0,0.0,0.0
1864,1.1,2.5,0.8,37.9,9.6,2.9,0.287,0.546,18.57,0.3,0.0,0.0,0.1
1873,1.2,2.6,0.9,39.6,10.4,3.1,0.254,0.496,18.59,0.2,0.0,0.0,0.1
1885,1.1,2.3,1.4,40.3,9.8,3.0,0.261,0.542,18.95,0.1,0.0,0.0,0.1
1899,0.9,2.2,0.7,39.8,10.6,2.9,0.246,0.526,18.62,0.1,0.0,0.0,0.1
