ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
100,1.1,1.9,0.3,51.3,12.1,3.6,20.03,0.6,0.2,0.5
115,1.0,1.909,1.5,49.455,11.545,3.364,19.918,0.545,0.182,0.455
125,1.0,1.833,1.0,47.5,11.417,3.5,19.667,0.5,0.167,0.417
131,0.923,1.692,1.0,47.385,11.231,3.538,19.285,0.462,0.154,0.385
140,0.929,1.643,0.7,47.643,11.214,3.571,19.214,0.5,0.143,0.357
169,0.867,1.533,1.1,47.6,11.133,3.4,19.107,0.467,0.133,0.333
174,0.875,1.5,0.7,47.562,11.375,3.438,18.994,0.5,0.125,0.312
183,0.824,1.471,0.9,46.588,11.294,3.353,19.059,0.529,0.118,0.294
192,0.833,1.5,0.5,46.111,11.333,3.444,19.022,0.5,0.111,0.278
197,0.789,1.421,1.3,46.316,11.263,3.368,18.905,0.474,0.105,0.263
211,0.85,1.45,0.6,47.1,11.3,3.55,18.84,0.45,0.1,0.25
219,0.81,1.476,1.5,47.571,11.143,3.429,18.819,0.429,0.095,0.238
233,0.773,1.409,2.5,48.136,11.545,3.364,18.714,0.5,0.091,0.227
236,0.826,1.348,0.5,48.217,11.565,3.348,18.596,0.478,0.087,0.217
242,0.833,1.333,1.2,48.417,11.417,3.333,18.538,0.458,0.083,0.208
253,0.84,1.28,1.4,49.04,11.56,3.4,18.636,0.44,0.08,0.2
264,0.808,1.231,0.7,49.462,11.731,3.423,18.635,0.462,0.077,0.192
271,0.778,1.222,1.3,49.852,11.704,3.407,18.578,0.444,0.074,0.185
281,0.786,1.179,0.3,49.393,11.643,3.393,18.368,0.429,0.071,0.179
287,0.759,1.241,1.6,49.276,11.345,3.276,18.121,0.414,0.069,0.172
297,0.767,1.267,1.0,49.333,11.4,3.367,17.95,0.4,0.067,0.167
301,0.774,1.323,0.9,49.258,11.516,3.484,18.097,0.387,0.065,0.161
314,0.75,1.312,0.9,49.281,11.594,3.469,18.072,0.375,0.062,0.156
332,0.758,1.303,0.3,48.727,11.303,3.364,18.427,0.364,0.091,0.182
347,0.735,1.324,1.0,48.794,11.265,3.353,18.491,0.353,0.088,0.176
355,0.714,1.343,0.8,49.343,11.543,3.343,18.483,0.343,0.086,0.171
361,0.722,1.389,0.9,49.444,11.5,3.333,18.436,0.333,0.083,0.167
372,0.73,1.378,1.0,49.27,11.405,3.378,18.392,0.324,0.081,0.162
762,0.711,1.395,1.2,49.658,11.474,3.289,18.424,0.316,0.079,0.158
775,0.744,1.41,1.5,49.231,11.385,3.256,18.423,0.308,0.103,0.179
785,0.725,1.375,2.4,49.025,11.3,3.225,18.355,0.3,0.1,0.2
797,0.78,1.39,0.8,48.878,11.463,3.366,18.285,0.317,0.098,0.195
802,0.786,1.405,0.7,48.405,11.452,3.357,18.176,0.31,0.095,0.19
817,0.814,1.395,0.7,48.186,11.419,3.349,18.109,0.326,0.093,0.186
821,0.818,1.409,0.9,48.182,11.364,3.341,18.086,0.318,0.091,0.182
