ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
101,1.7,1.1,2.0,40.9,11.8,3.9,0.36,0.602,15.6,0.3,0.0,0.0,0.3
108,1.636,1.273,1.3,40.818,12.455,4.091,0.356,0.593,15.609,0.364,0.0,0.0,0.273
124,1.667,1.25,0.4,40.5,13.0,4.417,0.361,0.613,15.708,0.417,0.0,0.0,0.333
137,1.615,1.231,0.4,41.385,12.692,4.231,0.351,0.604,16.046,0.462,0.0,0.0,0.308
145,1.5,1.357,1.3,41.786,12.214,3.929,0.326,0.602,15.814,0.429,0.0,0.0,0.286
150,1.533,1.4,1.2,41.933,12.133,3.933,0.328,0.595,15.653,0.4,0.0,0.0,0.267
156,1.438,1.312,1.3,41.688,11.875,3.875,0.331,0.621,15.544,0.375,0.0,0.0,0.25
172,1.412,1.235,1.7,41.588,11.824,3.941,0.338,0.643,15.624,0.412,0.0,0.0,0.235
180,1.389,1.167,2.0,41.778,12.0,3.889,0.331,0.663,15.472,0.444,0.0,0.0,0.222
187,1.421,1.158,2.8,42.684,12.105,4.0,0.336,0.654,15.621,0.474,0.0,0.0,0.211
204,1.5,1.2,0.8,42.85,12.35,4.15,0.34,0.638,15.615,0.45,0.0,0.0,0.2
213,1.476,1.286,1.7,42.381,12.143,4.048,0.335,0.627,15.571,0.429,0.0,0.0,0.19
219,1.545,1.273,1.0,42.455,12.5,4.273,0.341,0.621,15.723,0.455,0.0,0.0,0.182
234,1.478,1.217,1.9,42.348,12.304,4.13,0.331,0.637,15.617,0.478,0.0,0.0,0.174
243,1.542,1.167,1.1,42.5,12.292,4.292,0.345,0.653,15.758,0.542,0.042,0.042,0.167
249,1.56,1.16,1.5,42.08,11.96,4.28,0.371,0.656,15.432,0.52,0.04,0.04,0.16
275,1.538,1.192,1.8,41.885,11.846,4.231,0.37,0.644,15.338,0.5,0.038,0.038,0.154
285,1.556,1.148,0.6,41.63,11.963,4.222,0.366,0.657,15.556,0.519,0.037,0.074,0.148
289,1.5,1.143,2.4,41.536,11.786,4.071,0.353,0.661,15.5,0.5,0.036,0.071,0.143
300,1.552,1.207,1.2,41.414,11.897,4.103,0.352,0.655,15.41,0.483,0.034,0.069,0.138
306,1.6,1.233,0.8,41.2,11.8,4.167,0.363,0.653,15.317,0.467,0.033,0.067,0.133
312,1.645,1.258,1.9,41.065,11.548,4.161,0.383,0.648,15.319,0.452,0.032,0.065,0.129
323,1.656,1.312,0.4,41.844,11.656,4.188,0.382,0.644,15.444,0.438,0.062,0.094,0.125
337,1.606,1.303,2.3,41.939,11.576,4.121,0.377,0.649,15.679,0.455,0.061,0.091,0.121
345,1.618,1.294,1.3,42.324,11.882,4.118,0.371,0.63,15.715,0.471,0.059,0.088,0.147
356,1.571,1.286,1.7,43.057,11.857,4.0,0.361,0.631,15.717,0.457,0.057,0.086,0.143
370,1.556,1.278,3.4,43.222,11.944,3.944,0.354,0.628,15.797,0.444,0.056,0.083,0.139
377,1.595,1.27,1.3,43.351,12.162,4.081,0.357,0.631,15.808,0.459,0.054,0.108,0.135
389,1.632,1.237,2.7,43.211,12.211,4.158,0.361,0.641,15.811,0.447,0.053,0.105,0.132
400,1.692,1.256,2.3,43.487,12.333,4.231,0.362,0.633,15.844,0.462,0.051,0.128,0.128
406,1.75,1.25,1.3,43.7,12.5,4.3,0.362,0.617,15.795,0.45,0.05,0.125,0.125
413,1.756,1.268,0.7,43.78,12.537,4.293,0.36,0.602,15.78,0.439,0.049,0.122,0.122
428,1.714,1.238,1.6,44.119,12.548,4.262,0.357,0.611,15.881,0.452,0.048,0.119,0.119
436,1.698,1.256,1.6,44.023,12.535,4.233,0.355,0.616,16.023,0.442,0.047,0.14,0.116
449,1.705,1.25,1.5,44.091,12.705,4.273,0.353,0.62,16.073,0.477,0.045,0.136,0.114
458,1.689,1.267,1.2,44.422,12.822,4.289,0.352,0.621,16.087,0.489,0.044,0.133,0.111
468,1.674,1.239,1.3,44.783,12.891,4.283,0.35,0.629,16.096,0.478,0.043,0.13,0.109
479,1.66,1.213,2.3,44.638,12.894,4.277,0.349,0.637,16.068,0.468,0.043,0.128,0.106
490,1.708,1.208,1.0,44.896,13.062,4.354,0.349,0.638,16.077,0.521,0.042,0.125,0.104
495,1.735,1.224,0.4,44.612,12.939,4.327,0.351,0.637,16.045,0.51,0.041,0.122,0.102
508,1.7,1.22,0.2,44.68,12.84,4.3,0.351,0.64,16.128,0.5,0.04,0.12,0.1
512,1.686,1.235,1.3,44.431,12.686,4.275,0.356,0.642,16.231,0.51,0.039,0.118,0.098
520,1.673,1.231,1.8,44.25,12.712,4.288,0.356,0.643,16.354,0.5,0.038,0.115,0.096
536,1.698,1.245,0.8,44.113,12.66,4.264,0.355,0.644,16.425,0.491,0.057,0.132,0.094
543,1.667,1.222,0.4,44.407,12.722,4.241,0.352,0.651,16.465,0.481,0.056,0.13,0.093
553,1.636,1.236,1.6,44.418,12.618,4.182,0.348,0.652,16.571,0.491,0.055,0.127,0.109
558,1.643,1.268,3.6,44.625,12.589,4.179,0.349,0.647,16.582,0.482,0.054,0.125,0.125
566,1.684,1.263,2.2,44.842,12.579,4.193,0.35,0.65,16.572,0.474,0.07,0.14,0.123
