ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
202,0.5,1.4,0.2,40.9,9.0,3.1,17.16,0.5,0.1,0.1
227,0.455,1.455,1.4,39.909,8.273,2.818,16.082,0.455,0.091,0.091
255,0.667,1.333,0.7,40.417,8.917,2.917,16.217,0.417,0.083,0.083
280,0.615,1.538,0.8,40.538,9.0,2.923,16.454,0.385,0.077,0.077
295,0.714,1.5,1.5,40.143,9.357,3.071,16.643,0.429,0.071,0.071
315,0.8,1.6,0.9,40.6,9.133,3.133,16.647,0.4,0.133,0.133
325,0.812,1.688,2.0,40.0,9.188,3.125,16.794,0.375,0.125,0.125
347,1.0,1.588,1.5,40.118,9.471,3.353,16.912,0.353,0.118,0.118
376,1.056,1.5,1.1,39.667,9.722,3.444,16.783,0.333,0.111,0.111
391,1.0,1.474,0.9,40.579,9.737,3.421,16.605,0.316,0.105,0.105
420,0.95,1.5,1.0,40.3,9.7,3.4,16.54,0.3,0.1,0.1
433,0.952,1.571,0.5,40.667,9.762,3.524,16.552,0.286,0.095,0.095
454,1.0,1.591,0.9,40.364,9.727,3.5,16.832,0.318,0.091,0.091
463,0.957,1.609,0.7,39.913,9.609,3.435,16.73,0.304,0.087,0.087
483,1.0,1.625,0.7,39.875,9.583,3.5,16.904,0.292,0.083,0.083
514,1.0,1.6,0.2,39.48,9.4,3.44,16.864,0.28,0.08,0.08
523,0.962,1.538,0.6,39.308,9.269,3.346,17.035,0.269,0.077,0.077
563,0.926,1.519,1.1,39.778,9.296,3.259,17.1,0.333,0.074,0.074
569,0.929,1.571,1.0,39.893,9.321,3.25,16.964,0.321,0.071,0.071
591,0.931,1.621,0.4,40.069,9.276,3.207,16.993,0.345,0.069,0.069
619,0.9,1.567,0.7,39.567,9.3,3.133,17.133,0.333,0.067,0.067
632,0.968,1.516,0.2,39.323,9.323,3.161,17.216,0.323,0.065,0.065
653,0.969,1.5,0.7,39.375,9.188,3.094,17.278,0.312,0.062,0.062
687,0.939,1.515,1.7,39.545,9.121,3.03,17.403,0.333,0.061,0.061
695,0.912,1.529,1.8,40.0,9.382,3.029,17.403,0.353,0.059,0.059
714,0.914,1.514,1.6,39.971,9.343,2.971,17.374,0.343,0.057,0.086
739,0.944,1.5,0.7,40.333,9.556,3.056,17.333,0.361,0.056,0.083
749,0.919,1.486,1.6,40.108,9.514,3.0,17.281,0.351,0.054,0.081
1189,0.921,1.474,0.5,39.816,9.5,3.0,17.279,0.342,0.079,0.105
1206,0.923,1.462,0.6,40.179,9.513,3.0,17.321,0.333,0.077,0.103
1210,0.9,1.475,1.1,40.35,9.475,2.975,17.295,0.325,0.075,0.1
1222,0.927,1.463,1.1,40.61,9.585,3.0,17.366,0.317,0.073,0.098
1233,0.905,1.5,0.8,40.833,9.5,2.952,17.433,0.31,0.071,0.095
1253,0.907,1.512,0.3,41.163,9.419,2.953,17.447,0.302,0.07,0.093
1281,0.909,1.545,0.9,41.068,9.386,3.0,17.489,0.295,0.068,0.091
1294,0.889,1.533,0.6,41.244,9.444,3.0,17.587,0.333,0.067,0.089
1314,0.891,1.522,0.4,40.957,9.37,3.0,17.485,0.326,0.065,0.087
1332,0.915,1.489,1.2,40.809,9.319,2.979,17.528,0.319,0.064,0.085
1355,0.938,1.521,1.4,40.708,9.312,3.021,17.483,0.312,0.062,0.083
1374,0.939,1.551,1.3,40.408,9.286,3.02,17.427,0.306,0.061,0.082
1391,0.94,1.58,0.1,40.2,9.28,3.04,17.43,0.3,0.06,0.08
1415,0.922,1.608,0.7,40.275,9.137,2.98,17.324,0.294,0.059,0.078
1426,0.942,1.615,1.6,40.423,9.173,3.0,17.467,0.308,0.058,0.077
1446,0.962,1.623,0.5,40.245,9.34,3.057,17.409,0.34,0.057,0.075
1464,0.944,1.611,2.2,40.648,9.278,3.019,17.393,0.352,0.056,0.074
1479,1.0,1.6,2.1,40.836,9.4,3.127,17.367,0.345,0.055,0.073
1500,1.0,1.589,0.7,41.036,9.5,3.179,17.402,0.357,0.071,0.089
