ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
198,2.1,0.7,1.5,67.7,16.0,5.5,17.16,0.5,0.2,0.4
228,2.0,0.636,2.2,68.364,15.455,5.455,17.164,0.455,0.182,0.364
249,2.083,0.583,0.5,67.667,15.333,5.417,17.092,0.417,0.25,0.417
259,2.077,0.615,3.3,67.308,14.923,5.231,17.346,0.385,0.231,0.385
272,2.214,0.643,1.3,67.643,15.429,5.571,17.15,0.357,0.214,0.357
276,2.067,0.733,2.6,67.533,15.933,5.6,17.253,0.4,0.2,0.333
302,2.25,0.812,2.1,66.938,16.0,5.875,17.175,0.375,0.188,0.312
341,2.176,0.882,1.8,67.176,16.765,5.941,17.276,0.412,0.176,0.294
378,2.111,0.944,2.5,66.111,16.667,5.778,17.428,0.389,0.167,0.333
394,2.263,0.895,2.6,66.158,16.895,6.053,17.332,0.368,0.158,0.316
401,2.4,0.85,4.4,66.2,16.85,5.95,17.39,0.4,0.15,0.3
425,2.524,0.81,1.0,66.857,17.238,6.143,17.267,0.381,0.143,0.286
454,2.409,0.773,2.1,66.727,17.182,5.909,17.227,0.409,0.136,0.273
472,2.391,0.739,0.7,66.87,17.087,5.913,17.104,0.391,0.13,0.261
499,2.292,0.792,2.5,66.917,16.958,5.792,17.129,0.375,0.125,0.25
508,2.32,0.76,2.1,67.32,16.96,5.84,17.1,0.4,0.12,0.24
531,2.308,0.769,3.2,67.346,17.038,5.923,17.058,0.385,0.115,0.231
540,2.259,0.741,3.1,67.481,17.259,6.0,17.007,0.37,0.148,0.259
550,2.429,0.714,3.6,67.321,17.75,6.321,17.018,0.429,0.143,0.25
575,2.552,0.793,1.0,67.483,17.655,6.31,17.034,0.448,0.207,0.31
599,2.5,0.767,1.9,67.1,17.433,6.3,17.017,0.467,0.2,0.3
622,2.484,0.742,2.1,67.323,17.323,6.29,17.106,0.452,0.226,0.323
646,2.469,0.812,2.7,67.438,17.406,6.188,17.078,0.438,0.25,0.344
689,2.515,0.818,1.3,67.485,17.606,6.303,17.021,0.455,0.242,0.333
700,2.5,0.853,1.3,67.118,17.412,6.235,17.044,0.471,0.235,0.324
705,2.514,0.829,3.6,67.057,17.4,6.2,17.129,0.457,0.229,0.314
732,2.583,0.833,3.1,67.222,17.472,6.222,17.058,0.444,0.25,0.333
758,2.649,0.811,3.4,67.324,17.568,6.297,17.03,0.459,0.243,0.324
773,2.658,0.842,1.7,67.421,17.737,6.263,16.955,0.474,0.237,0.316
792,2.692,0.821,2.2,67.41,17.769,6.282,16.969,0.462,0.231,0.308
806,2.725,0.85,3.3,67.575,17.775,6.25,16.898,0.45,0.225,0.3
835,2.805,0.829,3.2,67.732,17.756,6.317,16.846,0.439,0.22,0.293
838,2.881,0.881,2.4,67.381,17.857,6.381,16.783,0.452,0.214,0.286
868,2.907,0.86,1.6,67.326,17.93,6.419,16.716,0.442,0.209,0.279
888,2.909,0.864,2.1,66.886,17.727,6.341,16.677,0.432,0.227,0.295
897,2.889,0.867,1.6,66.956,17.667,6.289,16.709,0.444,0.244,0.311
921,2.848,0.891,1.7,67.109,17.913,6.283,16.8,0.435,0.239,0.304
949,2.809,0.894,2.3,67.255,17.872,6.213,16.77,0.426,0.234,0.298
956,2.833,0.917,2.8,67.062,17.833,6.208,16.76,0.438,0.229,0.292
979,2.837,0.898,3.3,66.816,17.714,6.184,16.72,0.429,0.245,0.306
1002,2.84,0.9,1.3,66.82,17.68,6.2,16.694,0.44,0.26,0.32
1031,2.824,0.882,2.9,66.608,17.549,6.137,16.676,0.471,0.255,0.314
1063,2.846,0.885,1.6,66.635,17.538,6.173,16.635,0.481,0.25,0.308
1081,2.849,0.887,2.5,66.698,17.415,6.113,16.657,0.472,0.264,0.321
1095,2.87,0.889,2.3,66.426,17.352,6.167,16.643,0.463,0.259,0.315
1098,2.873,0.873,2.6,66.473,17.327,6.182,16.636,0.455,0.255,0.309
1127,2.857,0.875,1.2,66.714,17.321,6.179,16.673,0.482,0.25,0.321
1156,2.825,0.86,1.0,66.667,17.281,6.105,16.711,0.474,0.246,0.316
1173,2.793,0.845,2.2,66.534,17.224,6.069,16.731,0.466,0.241,0.31
1190,2.831,0.847,1.3,66.559,17.034,6.034,16.698,0.458,0.254,0.322
1224,2.817,0.833,0.8,66.4,16.867,6.0,16.707,0.483,0.25,0.317
1242,2.803,0.836,1.9,66.213,16.754,5.984,16.741,0.492,0.246,0.311
1261,2.855,0.839,1.3,66.194,16.823,6.016,16.735,0.484,0.242,0.306
1280,2.825,0.841,2.6,66.079,16.81,6.0,16.729,0.492,0.238,0.302
1303,2.828,0.875,1.6,65.906,16.812,5.969,16.677,0.484,0.234,0.297
1330,2.815,0.892,2.2,66.031,16.846,6.015,16.7,0.477,0.231,0.292
1355,2.803,0.879,1.7,66.242,16.864,5.985,16.711,0.47,0.227,0.288
1369,2.806,0.881,1.6,66.358,16.821,5.955,16.697,0.478,0.224,0.284
1385,2.794,0.868,2.6,66.441,16.853,5.912,16.707,0.471,0.221,0.279
1389,2.768,0.87,2.3,66.493,17.058,5.899,16.696,0.478,0.217,0.275
1407,2.743,0.857,3.3,66.543,17.171,5.957,16.709,0.471,0.214,0.271
1433,2.746,0.859,1.0,66.634,17.31,5.986,16.723,0.479,0.211,0.268
1441,2.708,0.847,3.4,66.708,17.236,5.917,16.688,0.472,0.208,0.264
1456,2.726,0.849,4.2,66.712,17.342,5.986,16.677,0.493,0.205,0.26
1493,2.757,0.851,3.7,66.797,17.595,6.068,16.68,0.486,0.216,0.27
1517,2.787,0.853,1.9,66.68,17.6,6.12,16.661,0.48,0.24,0.293
1535,2.789,0.855,3.3,66.737,17.737,6.197,16.678,0.5,0.237,0.289
