ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
103,0.7,1.8,0.7,41.6,9.5,3.0,0.324,0.69,19.29,0.4,0.0,0.0,0.3
110,0.8,2.0,0.6,43.0,9.7,3.3,0.354,0.667,19.09,0.3,0.0,0.0,0.1
119,0.7,1.7,0.4,45.5,10.4,3.2,0.311,0.705,19.18,0.3,0.0,0.0,0.1
135,0.5,1.5,0.0,45.3,10.0,3.0,0.298,0.72,19.08,0.3,0.0,0.0,0.1
146,0.5,1.6,0.6,44.8,9.6,2.9,0.358,0.716,20.43,0.4,0.0,0.0,0.2
152,0.6,1.7,0.5,41.4,8.8,2.6,0.371,0.666,20.45,0.4,0.0,0.0,0.2
161,0.5,2.1,1.0,38.9,8.3,2.4,0.363,0.616,20.29,0.4,0.0,0.0,0.2
171,0.5,2.3,2.4,37.5,8.0,2.6,0.396,0.629,20.09,0.3,0.0,0.0,0.2
180,0.8,2.4,0.5,36.6,7.8,2.7,0.409,0.616,20.29,0.3,0.2,0.2,0.2
188,0.9,2.5,0.5,37.0,7.7,2.7,0.414,0.599,20.82,0.3,0.2,0.2,0.1
197,0.8,3.0,1.0,34.4,6.4,2.2,0.404,0.528,20.15,0.2,0.2,0.2,0.1
207,0.9,2.7,1.6,33.2,6.0,2.1,0.419,0.583,20.04,0.2,0.2,0.2,0.1
221,0.9,2.7,0.6,31.0,5.5,2.2,0.446,0.583,19.09,0.1,0.2,0.2,0.1
231,0.8,2.8,1.0,32.2,5.4,2.2,0.451,0.564,18.19,0.1,0.2,0.2,0.1
240,0.9,2.6,1.6,31.6,6.0,2.4,0.394,0.58,16.18,0.0,0.2,0.2,0.0
250,0.8,2.5,0.8,33.1,6.5,2.3,0.354,0.63,16.72,0.2,0.2,0.2,0.0
263,0.9,2.0,1.0,33.8,6.7,2.4,0.362,0.714,16.52,0.2,0.2,0.2,0.2
270,0.9,1.7,2.0,34.8,7.1,2.4,0.347,0.717,16.27,0.2,0.2,0.2,0.2
279,0.6,1.5,0.8,36.8,7.4,2.4,0.34,0.75,16.05,0.2,0.0,0.0,0.2
291,0.5,1.4,1.6,38.2,8.0,2.3,0.315,0.75,15.8,0.3,0.0,0.0,0.3
309,1.0,1.1,3.0,39.4,9.0,2.9,0.34,0.793,16.7,0.5,0.0,0.0,0.3
320,1.1,0.9,0.5,39.6,9.9,3.1,0.316,0.821,16.66,0.6,0.1,0.1,0.4
327,1.0,1.0,1.5,39.2,9.5,2.8,0.291,0.812,16.82,0.6,0.1,0.1,0.4
336,1.2,1.0,1.1,38.7,10.0,3.0,0.299,0.825,17.99,0.8,0.2,0.2,0.5
346,1.2,1.0,1.8,40.3,10.3,3.0,0.286,0.832,18.16,0.8,0.2,0.2,0.5
359,1.3,1.3,1.0,40.0,10.5,2.9,0.274,0.789,17.8,0.6,0.2,0.2,0.5
370,1.3,1.5,1.1,39.2,10.8,3.0,0.274,0.756,17.53,0.7,0.2,0.2,0.3
374,1.4,1.7,1.0,39.5,11.1,3.1,0.276,0.756,17.79,0.8,0.2,0.2,0.4
